# time,count,1 min rate,mean rate,5 min rate,15 min rate
60,7,0.5597895160827866,0.11510672119655739,1.1654868576562436,1.3170061935349404
120,7,0.20593505435016776,0.05789442795574378,0.9542199326713867,1.2320684933818389
180,7,0.07575927271195039,0.03869151487340523,0.7812492040780655,1.1526086815960916
240,7,0.02787027890882722,0.029054779133455326,0.6396327491964087,1.0782734726412275
300,7,0.010252902630271597,0.023261160697425825,0.5236870024429156,1.008732365430167
360,7,0.0037718320900095286,0.01939401676851019,0.4287586538872393,0.9436761738873871
420,7,0.0013875794814652196,0.01662944110843074,0.3510378955858012,0.8828156522795619
480,7,5.10461964222385E-4,0.014554623701317696,0.28740552061187297,0.8258802092027739
540,7,1.8778846213740786E-4,0.012940171749982372,0.23530773832932816,0.7726167045085686
600,7,6.90835145095542E-5,0.011648104674155104,0.19265368180744757,0.7227883238198751
660,7,2.5414404711934038E-5,0.010590616166088106,0.15773149398945743,0.6761735256327879
720,7,9.349437003131171E-6,0.009709147035274156,0.12913962485810368,0.6325650563229286
